pile1,pile2,pile3
1,84,85
1,85,84
1,86,87
1,87,86
1,88,89
1,89,88
1,90,91
1,91,90
1,92,93
1,93,92
1,94,95
1,95,94
1,96,97
1,97,96
1,98,99
1,99,98
2,0,2
2,1,3
2,2,0
2,3,1
2,4,6
2,5,7
2,6,4
2,7,5
2,8,10
2,9,11
2,10,8
2,11,9
2,12,14
2,13,15
2,14,12
2,15,13
2,16,18
2,17,19
2,18,16
2,19,17
2,20,22
2,21,23
2,22,20
2,23,21
2,24,26
2,25,27
2,26,24
2,27,25
2,28,30
2,29,31
2,30,28
2,31,29
2,32,34
2,33,35
2,34,32
2,35,33
2,36,38
2,37,39
2,38,36
2,39,37
2,40,42
2,41,43
2,42,40
2,43,41
2,44,46
2,45,47
2,46,44
2,47,45
2,48,50
2,49,51
2,50,48
2,51,49
2,52,54
2,53,55
2,54,52
2,55,53
2,56,58
2,57,59
2,58,56
2,59,57
2,60,62
2,61,63
2,62,60
2,63,61
2,64,66
2,65,67
2,66,64
2,67,65
2,68,70
2,69,71
2,70,68
2,71,69
2,72,74
2,73,75
2,74,72
2,75,73
2,76,78
2,77,79
2,78,76
2,79,77
2,80,82
2,81,83
2,82,80
2,83,81
2,84,86
2,85,87
2,86,84
2,87,85
2,88,90
2,89,91
2,90,88
2,91,89
2,92,94
2,93,95
2,94,92
2,95,93
2,96,98
2,97,99
2,98,96
2,99,97
3,0,3
3,1,2
3,2,1
3,3,0
3,4,7
3,5,6
3,6,5
3,7,4
3,8,11
3,9,10
3,10,9
3,11,8
3,12,15
3,13,14
3,14,13
3,15,12
3,16,19
3,17,18
3,18,17
3,19,16
3,20,23
3,21,22
3,22,21
3,23,20
3,24,27
3,25,26
3,26,25
3,27,24
3,28,31
3,29,30
3,30,29
3,31,28
3,32,35
3,33,34
3,34,33
3,35,32
3,36,39
3,37,38
3,38,37
3,39,36
3,40,43
3,41,42
3,42,41
3,43,40
3,44,47
3,45,46
3,46,45
3,47,44
3,48,51
3,49,50
3,50,49
3,51,48
3,52,55
3,53,54
3,54,53
3,55,52
3,56,59
3,57,58
3,58,57
3,59,56
3,60,63
3,61,62
3,62,61
3,63,60
3,64,67
3,65,66
3,66,65
3,67,64
3,68,71
3,69,70
3,70,69
3,71,68
3,72,75
3,73,74
3,74,73
3,75,72
3,76,79
3,77,78
3,78,77
3,79,76
3,80,83
3,81,82
3,82,81
3,83,80
3,84,87
3,85,86
3,86,85
3,87,84
3,88,91
3,89,90
3,90,89
3,91,88
3,92,95
3,93,94
3,94,93
3,95,92
3,96,99
3,97,98
3,98,97
3,99,96
4,0,4
4,1,5
4,2,6
4,3,7
4,4,0
4,5,1
4,6,2
4,7,3
4,8,12
4,9,13
4,10,14
4,11,15
4,12,8
4,13,9
4,14,10
4,15,11
4,16,20
4,17,21
4,18,22
4,19,23
4,20,16
4,21,17
4,22,18
4,23,19
4,24,28
4,25,29
4,26,30
4,27,31
4,28,24
4,29,25
4,30,26
4,31,27
4,32,36
4,33,37
4,34,38
4,35,39
4,36,32
4,37,33
4,38,34
4,39,35
4,40,44
4,41,45
4,42,46
4,43,47
4,44,40
4,45,41
4,46,42
4,47,43
4,48,52
4,49,53
4,50,54
4,51,55
4,52,48
4,53,49
4,54,50
4,55,51
4,56,60
4,57,61
4,58,62
4,59,63
4,60,56
4,61,57
4,62,58
4,63,59
4,64,68
4,65,69
4,66,70
4,67,71
4,68,64
4,69,65
4,70,66
4,71,67
4,72,76
4,73,77
4,74,78
4,75,79
4,76,72
4,77,73
4,78,74
4,79,75
4,80,84
4,81,85
4,82,86
4,83,87
4,84,80
4,85,81
4,86,82
4,87,83
4,88,92
4,89,93
4,90,94
4,91,95
4,92,88
4,93,89
4,94,90
4,95,91
4,96,100
4,100,96
5,0,5
5,1,4
5,2,7
5,3,6
5,4,1
5,5,0
5,6,3
5,7,2
5,8,13
5,9,12
5,10,15
5,11,14
5,12,9
5,13,8
5,14,11
5,15,10
5,16,21
5,17,20
