1,1,6
1,1,11
1,1,16
1,1,21
1,1,26
1,1,31
1,1,36
1,2,8
1,2,13
1,2,18
1,2,23
1,2,28
1,2,33
1,2,38
1,3,7
1,3,12
1,3,17
1,3,22
1,3,27
1,3,32
1,3,37
1,4,9
1,4,14
1,4,19
1,4,24
1,4,29
1,4,34
1,4,39
1,6,1
1,6,6
1,6,11
1,6,16
1,6,21
1,6,26
1,6,31
1,6,36
1,7,3
1,7,8
1,7,13
1,7,18
1,7,23
1,7,28
1,7,33
1,7,38
1,8,2
1,8,7
1,8,12
1,8,17
1,8,22
1,8,27
1,8,32
1,8,37
1,9,4
1,9,9
1,9,14
1,9,19
1,9,24
1,9,29
1,9,34
1,9,39
1,11,1
1,11,6
1,11,11
1,11,16
1,11,21
1,11,26
1,11,31
1,11,36
1,12,3
1,12,8
1,12,13
1,12,18
1,12,23
1,12,28
1,12,33
1,12,38
1,13,2
1,13,7
1,13,12
1,13,17
1,13,22
1,13,27
1,13,32
1,13,37
1,14,4
1,14,9
1,14,14
1,14,19
1,14,24
1,14,29
1,14,34
1,14,39
1,16,1
1,16,6
1,16,11
1,16,16
1,16,21
1,16,26
1,16,31
1,16,36
1,17,3
1,17,8
1,17,13
1,17,18
1,17,23
1,17,28
1,17,33
1,17,38
1,18,2
1,18,7
1,18,12
1,18,17
1,18,22
1,18,27
1,18,32
1,18,37
1,19,4
1,19,9
1,19,14
1,19,19
1,19,24
1,19,29
1,19,34
1,19,39
1,21,1
1,21,6
1,21,11
1,21,16
1,21,21
1,21,26
1,21,31
1,21,36
1,22,3
1,22,8
1,22,13
1,22,18
1,22,23
1,22,28
1,22,33
1,22,38
1,23,2
1,23,7
1,23,12
1,23,17
1,23,22
1,23,27
1,23,32
1,23,37
1,24,4
1,24,9
1,24,14
1,24,19
1,24,24
1,24,29
1,24,34
1,24,39
1,26,1
1,26,6
1,26,11
1,26,16
1,26,21
1,26,26
1,26,31
1,26,36
1,27,3
1,27,8
1,27,13
1,27,18
1,27,23
1,27,28
1,27,33
1,27,38
1,28,2
1,28,7
1,28,12
1,28,17
1,28,22
1,28,27
1,28,32
1,28,37
1,29,4
1,29,9
1,29,14
1,29,19
1,29,24
1,29,29
1,29,34
1,29,39
1,31,1
1,31,6
1,31,11
1,31,16
1,31,21
1,31,26
1,31,31
1,31,36
1,32,3
1,32,8
1,32,13
1,32,18
1,32,23
1,32,28
1,32,33
1,32,38
1,33,2
1,33,7
1,33,12
1,33,17
1,33,22
1,33,27
1,33,32
1,33,37
1,34,4
1,34,9
1,34,14
1,34,19
1,34,24
1,34,29
1,34,34
1,34,39
1,36,1
1,36,6
1,36,11
1,36,16
1,36,21
1,36,26
